"FishID","fish_id","gra_2002","gra_2003","gra_2004","gra_2005","gra_2006","gra_2007","gra_2008","gra_2009","gra_2010","gra_2011","gra_2012","gra_2013","gra_2014","gra_2015","gra_2016","gra_2017","gra_2018","gra_2019","gra_2020","gra_2021"
291972,10780,0,0,0,0,0,0,0,0,0,0.0170940170940171,0.0170940170940171,0.0256410256410256,0.0341880341880342,0.0341880341880342,0.0256410256410256,0.0170940170940171,0.00854700854700855,0,0,0.00854700854700855
291975,10781,0.572649572649573,0.504273504273504,0.418803418803419,0.358974358974359,0.401709401709402,0.35042735042735,0.290598290598291,0.239316239316239,0.162393162393162,0.239316239316239,0.47008547008547,0.512820512820513,0.58974358974359,0.598290598290598,0.581196581196581,0.538461538461538,0.504273504273504,0.564102564102564,0.632478632478632,0.700854700854701
291976,10782,0.213675213675214,0.094017094017094,0.0341880341880342,0.0512820512820513,0.0427350427350427,0.0170940170940171,0.0341880341880342,0.0683760683760684,0.00854700854700855,0.0170940170940171,0.0769230769230769,0.162393162393162,0.188034188034188,0.239316239316239,0.222222222222222,0.256410256410256,0.205128205128205,0.213675213675214,0.230769230769231,0.358974358974359
291982,10783,0,0,0.0172413793103448,0.0431034482758621,0.0862068965517241,0.0431034482758621,0.00862068965517241,0,0,0,0,0,0,0,0,0,0,0.00862068965517241,0.00862068965517241,0
291983,10784,0,0.0512820512820513,0.0854700854700855,0.0683760683760684,0.0683760683760684,0.0683760683760684,0.0683760683760684,0.0683760683760684,0.0512820512820513,0.0170940170940171,0.0170940170940171,0.0341880341880342,0.0256410256410256,0,0,0.0341880341880342,0.00854700854700855,0,0,0.111111111111111
291984,10785,0.217391304347826,0.330434782608696,0.460869565217391,0.382608695652174,0.330434782608696,0.260869565217391,0.330434782608696,0.278260869565217,0.234782608695652,0.165217391304348,0.104347826086957,0.121739130434783,0.104347826086957,0.2,0.278260869565217,0.304347826086957,0.208695652173913,0.182608695652174,0.208695652173913,0.460869565217391
291985,10786,0.28695652173913,0.304347826086957,0.452173913043478,0.391304347826087,0.391304347826087,0.330434782608696,0.347826086956522,0.382608695652174,0.330434782608696,0.278260869565217,0.269565217391304,0.28695652173913,0.295652173913043,0.356521739130435,0.478260869565217,0.626086956521739,0.460869565217391,0.469565217391304,0.434782608695652,0.660869565217391
291986,10787,0.0508474576271186,0.0338983050847458,0.0593220338983051,0.0254237288135593,0.0254237288135593,0.0423728813559322,0.0338983050847458,0.0593220338983051,0.0677966101694915,0.0593220338983051,0.0423728813559322,0.076271186440678,0.0932203389830508,0.076271186440678,0.0423728813559322,0.0338983050847458,0.0254237288135593,0.0593220338983051,0.0593220338983051,0.194915254237288
291993,10788,0,0,0,0,0,0,0,0,0,0.00862068965517241,0.00862068965517241,0.0172413793103448,0.0172413793103448,0.00862068965517241,0,0,0,0,0,0
291994,10789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00847457627118644
291997,10790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
292002,10791,0.495652173913044,0.469565217391304,0.373913043478261,0.217391304347826,0.260869565217391,0.208695652173913,0.243478260869565,0.321739130434783,0.278260869565217,0.226086956521739,0.269565217391304,0.426086956521739,0.478260869565217,0.443478260869565,0.321739130434783,0.382608695652174,0.417391304347826,0.443478260869565,0.469565217391304,0.608695652173913
